"NIBRS Crimes and Rates by County - Last 3 Years"
"Current date: 3/6/2021 3:51:09 PM (Mountain Standard Time)"
"Measures: Number of Crimes"
"Jurisdiction by Geography","Incident Date","Offense Type","Number of Crimes",
"Park County","2020","Crimes Against Society","10"
"Park County","2021","Crimes Against Person","10"
"Park County","2021","Crimes Against Property","16"
"Park County","2021","Crimes Against Society","2"
"Phillips County","2019","Crimes Against Person","12"
"Phillips County","2019","Crimes Against Property","38"
"Phillips County","2019","Crimes Against Society","14"
"Phillips County","2020","Crimes Against Person","14"
"Phillips County","2020","Crimes Against Property","29"
"Phillips County","2020","Crimes Against Society","1"
"Phillips County","2021","Crimes Against Person",""
"Phillips County","2021","Crimes Against Property",""
"Phillips County","2021","Crimes Against Society",""
"Pitkin County","2019","Crimes Against Person","68"
"Pitkin County","2019","Crimes Against Property","411"
"Pitkin County","2019","Crimes Against Society","34"
"Pitkin County","2020","Crimes Against Person","56"
"Pitkin County","2020","Crimes Against Property","292"
"Pitkin County","2020","Crimes Against Society","5"
"Pitkin County","2021","Crimes Against Person","6"
"Pitkin County","2021","Crimes Against Property","32"
"Pitkin County","2021","Crimes Against Society",""
"Prowers County","2019","Crimes Against Person","23"
"Prowers County","2019","Crimes Against Property","141"
"Prowers County","2019","Crimes Against Society","54"
"Prowers County","2020","Crimes Against Person","41"
"Prowers County","2020","Crimes Against Property","180"
"Prowers County","2020","Crimes Against Society","47"
"Prowers County","2021","Crimes Against Person","4"
"Prowers County","2021","Crimes Against Property","30"
"Prowers County","2021","Crimes Against Society","10"
"Pueblo County","2019","Crimes Against Person","2,497"
"Pueblo County","2019","Crimes Against Property","9,206"
"Pueblo County","2019","Crimes Against Society","968"
"Pueblo County","2020","Crimes Against Person","2,485"
"Pueblo County","2020","Crimes Against Property","9,650"
"Pueblo County","2020","Crimes Against Society","806"
"Pueblo County","2021","Crimes Against Person","335"
"Pueblo County","2021","Crimes Against Property","1,844"
"Pueblo County","2021","Crimes Against Society","144"
"Rio Blanco County","2019","Crimes Against Person","25"
"Rio Blanco County","2019","Crimes Against Property","43"
"Rio Blanco County","2019","Crimes Against Society","7"
"Rio Blanco County","2020","Crimes Against Person","34"
"Rio Blanco County","2020","Crimes Against Property","48"
"Rio Blanco County","2020","Crimes Against Society","4"
"Rio Blanco County","2021","Crimes Against Person","4"
"Rio Blanco County","2021","Crimes Against Property","12"
"Rio Blanco County","2021","Crimes Against Society","1"
"Rio Grande County","2019","Crimes Against Person","150"
"Rio Grande County","2019","Crimes Against Property","348"
"Rio Grande County","2019","Crimes Against Society","80"
"Rio Grande County","2020","Crimes Against Person","153"
"Rio Grande County","2020","Crimes Against Property","363"
"Rio Grande County","2020","Crimes Against Society","35"
"Rio Grande County","2021","Crimes Against Person","20"
"Rio Grande County","2021","Crimes Against Property","50"
"Rio Grande County","2021","Crimes Against Society","11"
"Routt County","2019","Crimes Against Person","238"
"Routt County","2019","Crimes Against Property","640"
"Routt County","2019","Crimes Against Society","184"
"Routt County","2020","Crimes Against Person","190"
"Routt County","2020","Crimes Against Property","642"
"Routt County","2020","Crimes Against Society","140"
"Routt County","2021","Crimes Against Person","27"
"Routt County","2021","Crimes Against Property","180"
"Routt County","2021","Crimes Against Society","16"
"Saguache County","2019","Crimes Against Person","19"
"Saguache County","2019","Crimes Against Property","96"
"Saguache County","2019","Crimes Against Society","5"
"Saguache County","2020","Crimes Against Person","30"
"Saguache County","2020","Crimes Against Property","103"
"Saguache County","2020","Crimes Against Society","16"
"Saguache County","2021","Crimes Against Person","5"
"Saguache County","2021","Crimes Against Property","13"
"Saguache County","2021","Crimes Against Society","2"
"San Juan County","2019","Crimes Against Person","3"
"San Juan County","2019","Crimes Against Property","13"
"San Juan County","2019","Crimes Against Society",""
"San Juan County","2020","Crimes Against Person","4"
"San Juan County","2020","Crimes Against Property","5"
"San Juan County","2020","Crimes Against Society",""
"San Juan County","2021","Crimes Against Person",""
"San Juan County","2021","Crimes Against Property",""
"San Juan County","2021","Crimes Against Society",""
"San Miguel County","2019","Crimes Against Person","42"
"San Miguel County","2019","Crimes Against Property","59"
"San Miguel County","2019","Crimes Against Society","23"
"San Miguel County","2020","Crimes Against Person","27"
"San Miguel County","2020","Crimes Against Property","71"
"San Miguel County","2020","Crimes Against Society","10"
"San Miguel County","2021","Crimes Against Person","3"
"San Miguel County","2021","Crimes Against Property","16"
"San Miguel County","2021","Crimes Against Society",""
"Sedgwick County","2019","Crimes Against Person","1"
"Sedgwick County","2019","Crimes Against Property","1"
"Sedgwick County","2019","Crimes Against Society",""
"Sedgwick County","2020","Crimes Against Person","1"
"Sedgwick County","2020","Crimes Against Property","1"
"Sedgwick County","2020","Crimes Against Society",""
"Sedgwick County","2021","Crimes Against Person",""
"Sedgwick County","2021","Crimes Against Property",""
"Sedgwick County","2021","Crimes Against Society",""
"Summit County","2019","Crimes Against Person","348"
"Summit County","2019","Crimes Against Property","1,401"
"Summit County","2019","Crimes Against Society","80"
"Summit County","2020","Crimes Against Person","322"
"Summit County","2020","Crimes Against Property","1,246"
"Summit County","2020","Crimes Against Society","67"
"Summit County","2021","Crimes Against Person","23"
"Summit County","2021","Crimes Against Property","86"
"Summit County","2021","Crimes Against Society","3"
"Teller County","2019","Crimes Against Person","175"
"Teller County","2019","Crimes Against Property","638"
"Teller County","2019","Crimes Against Society","205"
"Teller County","2020","Crimes Against Person","230"
"Teller County","2020","Crimes Against Property","600"
"Teller County","2020","Crimes Against Society","158"
"Teller County","2021","Crimes Against Person","17"
"Teller County","2021","Crimes Against Property","92"
"Teller County","2021","Crimes Against Society","23"
"Washington County","2019","Crimes Against Person","51"
"Washington County","2019","Crimes Against Property","127"
"Washington County","2019","Crimes Against Society","5"
"Washington County","2020","Crimes Against Person","69"
"Washington County","2020","Crimes Against Property","121"
"Washington County","2020","Crimes Against Society","14"
"Washington County","2021","Crimes Against Person","3"
"Washington County","2021","Crimes Against Property","50"
"Washington County","2021","Crimes Against Society","1"
"Weld County","2019","Crimes Against Person","2,788"
"Weld County","2019","Crimes Against Property","8,269"
"Weld County","2019","Crimes Against Society","2,266"
"Weld County","2020","Crimes Against Person","3,271"
"Weld County","2020","Crimes Against Property","9,573"
"Weld County","2020","Crimes Against Society","1,642"
"Weld County","2021","Crimes Against Person","205"
"Weld County","2021","Crimes Against Property","972"
"Weld County","2021","Crimes Against Society","111"
"Yuma County","2019","Crimes Against Person","25"
"Yuma County","2019","Crimes Against Property","93"
"Yuma County","2019","Crimes Against Society","31"
"Yuma County","2020","Crimes Against Person","41"
"Yuma County","2020","Crimes Against Property","120"
"Yuma County","2020","Crimes Against Society","33"
"Yuma County","2021","Crimes Against Person",""
"Yuma County","2021","Crimes Against Property","10"
"Yuma County","2021","Crimes Against Society",""
"Broomfield County","2019","Crimes Against Person","371"
"Broomfield County","2019","Crimes Against Property","3,243"
"Broomfield County","2019","Crimes Against Society","565"
"Broomfield County","2020","Crimes Against Person","349"
"Broomfield County","2020","Crimes Against Property","3,418"
"Broomfield County","2020","Crimes Against Society","288"
"Broomfield County","2021","Crimes Against Person","39"
"Broomfield County","2021","Crimes Against Property","798"
"Broomfield County","2021","Crimes Against Society","63"
"Colorado Bureau of Investigation","2019","Crimes Against Person",""
"Colorado Bureau of Investigation","2019","Crimes Against Property","2"
"Colorado Bureau of Investigation","2019","Crimes Against Society","12"
"Colorado Bureau of Investigation","2020","Crimes Against Person",""
"Colorado Bureau of Investigation","2020","Crimes Against Property",""
"Colorado Bureau of Investigation","2020","Crimes Against Society",""
"Colorado Bureau of Investigation","2021","Crimes Against Person",""
"Colorado Bureau of Investigation","2021","Crimes Against Property",""
"Colorado Bureau of Investigation","2021","Crimes Against Society",""
"Colorado State Patrol","2019","Crimes Against Person","57"
"Colorado State Patrol","2019","Crimes Against Property","176"
"Colorado State Patrol","2019","Crimes Against Society","782"
"Colorado State Patrol","2020","Crimes Against Person","63"
"Colorado State Patrol","2020","Crimes Against Property","186"
"Colorado State Patrol","2020","Crimes Against Society","936"
